Mã CK,SDP,SDT,SDU,SDV,SDY,SEA,SEB,SED,SEP,SFC,SFG,SFI,SFN,SGC,SGD,SGH,SGI,SGN,SGP,SGR,SGS,SGT,SHA,SHC,SHE,SHI,SHN,SHP,SID,SIG,SII,SIP,SIV,SJ1,SJD,SJE,SJF,SJG,SJM,SJS,SKG,SKH,SKN,SKV
3. Đầu tư góp vốn vào đơn vị khác253,2577559781,18739033894,23953667000,,,131851261456,,770000000,,10296000000,,2087000000,40000000,,,,65278050000,,499484805527,35224793200,,700026372585,,,,34115778616,93421875000,,,,143153395000,321202592926,7936000000,30825500000,1841309273,1797000000,198660000,236263182826,2277870000,58243068750,,,,
4. Dự phòng đầu tư tài chính dài hạn254,-1500000000,-3000000000,-11021831238,,,-16432336212,,,,-3903007600,,,,,,,,,-167984573980,-496628184,-18983934769,-155993431632,,-942215528,,-31405778616,-13373615000,,,,,,,,,,-148624454735,-118483112900,-159591445,-15644426420,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,,,,,,,,3000000000,,,10000000000,,,4585000000,,5243382739,,,,20000000000,,,,,,1000000000,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,,35798211173,17938935917,72580936012,2958756314,11087836586,70648392483,22586423781,8767956431,7696316854,64193905465,2953384684,,14098912034,6005902037,797103393,174212017200,16513760205,14294014281,11882431291,1759583005,12534636643,1678477206,3430307320,975242750,70656224999,3239117041,10283839462,4444051949,9796342518,41079297847,1072384253039,45920971954,53172708124,12205376285,16743539549,13317448061,201094352063,,37014531610,13432238432,28935202192,5245012242,50718578082
1. Chi phí trả trước dài hạn261,,35798211173,17611367394,72580936012,1988429751,4688397859,63517586734,22586423781,8767956431,4263963827,63038122307,2953384684,,10727071090,5855453413,797103393,55367652091,145872440,1483821878,8927710629,1759583005,4185047263,500678697,3430307320,975242750,68808654956,721524996,10283839462,4339055076,5411229221,7515176651,606958493039,45920971954,52757849436,1864155335,8825108061,13317448061,63443376049,,13188330744,13432238432,23134882164,5216103483,50718578082
2. Tài sản thuế thu nhập hoãn lại262,,,327568523,,970326563,6399438727,,,,3432353027,1155783158,,,3371840944,,,34494490565,16367887765,12810192403,2954720662,,849589380,1177798509,,,,,,104996873,4385113297,,,,,,5048118220,,55313215429,,23826200866,,5800320028,28908759,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,7130805749,,,,,,,,,,,,,,,,,,,,,,,,4503902095,,,,10341220950,,,26063902115,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465425760000,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,150448624,,84349874544,,,,,7500000000,,,,1847570043,2517592045,,,,29060219101,,,414858688,,2870313268,,56273858470,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
