Mã CK,TVN,TVT,TW3,TXM,TYA,UCT,UDC,UDJ,UDL,UEM,UIC,UMC,UNI,UPC,UPH,USC,USD,UXC,V11,V12,V21,VAF,VAV,VBC,VBG,VBH,VC1,VC2,VC3,VC6,VC7,VC9,VCA,VCC,VCE,VCF,VCG,VCM,VCP,VCR,VCS,VCT,VCW
VI. Tài sản dài hạn khác260,347197363206,26093130224,2401071125,12232000,6414415636,148580982,1708041268,7545375,752051945,1273706148,5136073414,117706667,,8131434305,49219466857,5621522865,4500172948,3200000,,4137031215,31765000,6204493991,20564563920,3436935218,2072730312,839281966,2554936996,3139987435,3251350702,15537973496,235132027,54867527646,7373651814,24901506158,,22393467132,308225541666,36534651,214243712635,11115889572,18158560257,642768173,14260656259
1. Chi phí trả trước dài hạn261,343616012192,25757342961,2401071125,12232000,5900843075,148580982,1708041268,7545375,752051945,1273706148,1557304310,117706667,,7946142941,48562134538,5621522865,4500172948,3200000,,4137031215,31765000,1684773038,20564563920,3436935218,2072730312,839281966,2554936996,522651641,17607845,15537973496,198711466,53971048752,7373651814,24901506158,,16310464993,138716099959,36534651,27641202662,11096874187,13551809276,500674938,9426152569
2. Tài sản thuế thu nhập hoãn lại262,3581351014,335787263,,,513572561,,,,,,,,,185291364,657332319,,,,,,,4519720953,,,,,,2617335794,3233742857,,36420561,896478894,,,,6083002139,98770264627,,,19015385,4606750981,142093235,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,3578769104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834503690
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103636364,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70635540716,,186602509973,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,25116005572669,1335469329506,174304066618,166925024179,1225846712407,44470721885,854583341127,440373183557,243488727810,103435511276,721875396597,34153509497,556460221632,218092099251,386843685749,188651727312,202465813822,868466527784,243612865531,629021712181,365893379065,1071996533013,1113980528494,400096828432,183317986905,28582869436,708267208717,2789703668072,3086772242912,1003988808654,1489920209335,834126459622,319965363957,1232483518440,79237529314,2488488059842,29440638022507,94126332260,4802388700457,5182957329739,6466972011383,39533790335,3867703841904
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,15734769277030,769670075428,141059864813,56807079435,676232013780,14764944713,655915306728,209097511085,52370558265,77059722615,258459198233,6659226710,392335309756,155623813109,231691580577,130937426719,121443956425,957147983089,303001242485,466957757640,245163891141,550814975791,400481804877,233706312190,94747517716,2398064925,456860161522,1858570474803,1681019402477,843460967034,433968413294,770696797796,127608967046,961410075723,21818767108,593744351247,18324526068166,22681023459,2754322132554,3600233442737,1357349867553,40666393369,2661120277985
