Mã CK,PVO,PVP,PVR,PVS,PVT,PVV,PVX,PVY,PWA,PWS,PXA,PXI,PXL,PXM,PXS,PXT,QBS,QCC,QCG,QHD,QHW,QNC,QNP,QNS,QNT,QNU,QNW,QPH,QSP,QST,QTC,QTP,RAL,RAT,RBC,RCC,RCL,REE,RIC,RTB,RYG,S12,S4A,S55,S72,S74
3. Tài sản cố định vô hình227,24267100317,,,61819539196,1846287201,,257674706668,688935944,3945392206,93847239,,,,,9564510142,440700000,,,47568600000,,4526840637,,1046635321,17144652072,,,,,,5457150000,245555973,,83791071378,2472047672,5062917299,3696285678,7814045518,71016250419,42396429,822298431,62792457553,300856757,3400000000,,,
- Nguyên giá228,38522787191,185000000,423000000,198039222348,11097733611,141555000,284392878902,75690301102,4119592206,1263708933,,,41782000,,29945824162,4596062000,,,47666600000,267135000,18054278798,1040600000,9554267711,78177331109,,,660245455,3724769595,,5582150000,258293600,6767357553,143768788394,4199170000,10403200016,5022375400,11976593843,95384900227,113540136711,4257854459,68204471219,999709888,3400000000,,,
- Giá trị hao mòn lũy kế 229,-14255686874,-185000000,-423000000,-136219683152,-9251446410,-141555000,-26718172234,-75001365158,-174200000,-1169861694,,,-41782000,,-20381314020,-4155362000,,,-98000000,-267135000,-13527438161,-1040600000,-8507632390,-61032679037,,,-660245455,-3724769595,,-125000000,-12737627,-6767357553,-59977717016,-1727122328,-5340282717,-1326089722,-4162548325,-24368649808,-113497740282,-3435556028,-5412013666,-698853131,,,,
III. Bất động sản đầu tư230,,,,159659689059,,30123371440,85507988185,,,,6506609360,,57475814199,,11398514829,,,337891696,20099432419,,,,,,,,,,,,,,,,,2994275698,41708371410,2542405763957,,,,,,,,
- Nguyên giá231,,,,229280786454,,47888057644,111067844188,,,,8982934277,,68423588321,,18122234883,,,901710949,33609241205,,,,,,,,,,,,,,,,,5686065091,52891457275,3858506064506,,,,,,,,
- Giá trị hao mòn lũy kế232,,,,-69621097395,,-17764686204,-25559856003,,,,-2476324917,,-10947774122,,-6723720054,,,-563819253,-13509808786,,,,,,,,,,,,,,,,,-2691789393,-11183085865,-1316100300549,,,,,,,,
IV. Tài sản dở dang dài hạn240,,,24918942700,429933764113,7110214859,13456403282,138515570946,3483456871,,6215550172,62003498398,,61688526643,229949191,3260723002,,,,5360883910704,,3503600000,29222070887,40222228363,81773023093,,,9913829526,231481482,3111660052,8471201444,29827995,5522242671,145599121310,1291433512,1139954084,,84091194765,1452578743086,49431913122,174160252513,460417449070,,,,4189724285,15000000000
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,69815950708,,1428184355,25064213539,,,,,,,,,,,,5360883910704,,,3584552562,,,,,,,,,,,,,,,79272648504,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,,,24918942700,360117813405,7110214859,12028218927,113451357407,3483456871,,6215550172,62003498398,,61688526643,229949191,3260723002,,,,,,3503600000,25637518325,40222228363,81773023093,,,9913829526,231481482,3111660052,8471201444,29827995,5522242671,145599121310,1291433512,1139954084,,4818546261,1452578743086,49431913122,174160252513,460417449070,,,,4189724285,15000000000
V. Đầu tư tài chính dài hạn250,,,220490572256,4730390622099,212733790272,30000000,78900512009,2000000000,2970645998,5000000000,,1767701806,139923909487,,50000000,,,,318979995608,,,39236900000,18000000000,,34086000000,,,,,,,,,10809371733,8043046091,217527641230,5330000000,6198537115816,10590547161,53126975156,131032218869,4969600000,,75405217681,2735000000,162705620000
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
